sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
ARF10_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	10783169	0	0	10759003	4795945	4550120	10122980	24166
ARF13_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	10800225	0	0	10771736	4484951	4241633	10069071	28489
ARF14_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	10349734	0	0	10313395	4524689	4287027	9658501	36339
ARF16_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	16844765	0	0	16816036	6369082	6039912	15715282	28729
ARF18_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14441120	0	0	14414986	5468248	5177942	13461503	26134
ARF25_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	16922083	0	0	16879682	8995487	8462477	15772582	42401
ARF27_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	6980166	0	0	6883641	2487685	2231349	6075366	96525
ARF29_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	17015696	0	0	16702444	6234188	5313165	14101702	313252
ARF34_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	12200761	0	0	12131940	5442147	4324524	9614189	68821
ARF35_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	8954444	0	0	8927651	4378942	3996567	8025527	26793
ARF36_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	4800956	0	0	4757043	1782522	1648560	4340193	43913
ARF39_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	8622885	0	0	8540761	3164630	2870410	7626093	82124
ARF4_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	10580190	0	0	10550360	5311903	4868220	9572245	29830
ARF7_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	4577445	0	0	4551047	1943325	1764637	4099357	26398
BAD1_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	11028325	0	0	11014826	4222406	3974098	10221505	13499
BZIP25_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	24141610	0	0	24079665	8899745	7938031	21124565	61945
BZIP54_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	23629210	0	0	23571479	8722130	7751062	20599478	57731
BZIP57_FEA4_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	50594419	0	0	50501025	19164761	17623379	45665046	93394
BZIP72_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	61839055	0	0	61695430	23192163	21068100	55232280	143625
BZIP96_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	27630933	0	0	27591857	10718866	9856156	25144919	39076
control_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	10462164	0	0	10444988	3987656	3763885	9699413	17176
EREB127_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	12949160	0	0	12942713	4934321	4672491	12047224	6447
EREB138_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	20232817	0	0	20212855	9597811	8872517	18461479	19962
EREB24_BBM_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	31920084	0	0	31893371	12928376	11743553	28515591	26713
EREB29_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	40293909	0	0	40254676	16113446	14580841	35685998	39233
EREB71_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	66219709	0	0	66143409	30956470	28235883	59572076	76300
LBD16_RA2_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	48659186	0	0	48598788	22178814	20028801	43304670	60398
LBD19_IG1_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14410450	0	0	14401275	5714122	5395122	13216268	9175
LBD38_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	28371028	0	0	28346364	11439431	10523765	25672650	24664
LBD5_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	28550697	0	0	28519683	13538356	12489222	26042854	31014
SBP30_UB3_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14159437	0	0	14151156	5888006	5565118	13117160	8281
SBP6_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	24929696	0	0	24910930	9497468	8714769	22401221	18766
SBP8_UB2_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	18121608	0	0	18107207	7469194	6825519	16212721	14401
